50 5
9 63 67
10 180 431
11 332 488
12 278 316
13 242 792
14 23 205
15 206 417
16 39 450
17 277 592
18 342 890
19 51 784
20 7 884
21 130 955
22 451 232
23 237 178
24 433 716
25 309 162
26 420 944
27 212 342
28 197 215
29 496 797
30 308 236
31 242
12 69 9
1 120 962
2 223 404
3 104 825
4 291 793
5 342 790
6 409 493
7 456 784
8 81 724
9 296
13 15 35
1 425 845
2 129 914
3 413 935
4 245 338
5 102 999
6 377 852
7 284 876
8 111 186
9 463 180
10 240 381
11 286 350
12 393 684
13 103 63
14 403 917
15 319 250
16 247 414
17 276 344
18 417 87
19 49 33
20 292 958
21 66 549
22 319 882
23 313 830
24 399 766
25 160 567
26 437 657
27 336 54
28 329 637
29 65 713
30 223 724
31 291 34
32 25 667
33 349 41
34 429 851
35 99
14 11 33
1 109 429
2 243 550
3 22 417
4 262 718
5 211 719
6 362 554
7 53 631
8 51 169
9 368 519
10 238 411
11 268 320
12 454 101
13 331 578
14 350 385
15 445 119
16 234 351
17 273 934
18 478 666
19 269 731
20 332 802
21 463 518
22 472 818
23 133 911
24 318 548
25 170 98
26 135 115
27 482 50
28 167 187
29 40 583
30 314 818
31 117 472
32 129 696
33 356
15 25 12
1 132 733
2 217 792
3 334 266
4 86 365
5 391 264
6 243 124
7 312 734
8 450 331
9 348 638
10 115 219
11 474 325
12 283
16 53 1
1 101
17 61 27
1 391 235
2 292 653
3 326 460
4 358 431
5 364 417
6 357 785
7 457 638
8 338 481
9 87 455
10 388 159
11 259 448
12 314 480
13 233 181
14 274 858
15 159 593
16 90 569
17 421 904
18 181 294
19 42 534
20 304 202
21 499 362
22 165 257
23 344 424
24 351 975
25 447 238
26 304 624
27 398
18 49 33
1 491 309
2 71 326
3 278 942
4 76 518
5 105 812
6 302 472
7 78 45
8 67 891
9 466 670
10 192 633
11 280 235
12 153 624
13 274 30
14 473 693
15 268 268
16 148 544
17 281 355
18 362 247
19 210 779
20 31 560
21 427 132
22 345 125
23 184 919
24 169 333
25 289 479
26 366 525
27 82 84
28 230 432
29 246 292
30 391 543
31 437 570
32 221 499
33 235
19 5 34
1 235 239
2 57 814
3 244 349
4 140 667
5 387 474
6 328 189
7 248 240
8 327 791
9 397 474
10 207 374
11 437 153
12 225 157
13 482 780
14 388 727
15 442 461
16 157 652
17 442 906
18 355 855
19 347 645
20 192 650
21 180 376
22 426 343
23 112 46
24 354 874
25 322 676
26 332 836
27 310 55
28 353 541
29 314 139
30 97 350
31 317 940
32 285 520
33 390 475
34 261
20 52 2
1 157 869
2 485
21 77 1
1 32
22 23 16
1 344 684
2 53 190
3 274 82
4 173 89
5 309 803
6 444 377
7 252 711
8 476 83
9 39 267
10 262 678
11 20 696
12 330 707
13 45 125
14 130 519
15 113 213
16 97
23 1 6
1 465 391
2 95 905
3 382 884
4 188 287
5 173 515
6 32
24 57 37
1 214 150
2 80 471
3 182 110
4 193 341
5 116 120
6 200 461
7 314 834
8 133 387
9 199 305
10 314 164
11 487 404
12 268 455
13 134 976
14 204 908
15 288 225
16 134 305
17 186 703
18 489 810
19 294 605
20 360 229
21 274 46
22 241 544
23 483 558
24 12 857
25 65 116
26 486 105
27 98 940
28 255 991
29 203 382
30 96 645
31 148 563
32 417 771
33 124 804
34 474 683
35 188 480
36 136 654
37 32
25 24 16
1 452 521
2 206 872
3 28 607
4 46 262
5 375 376
6 478 127
7 324 858
8 66 699
9 84 664
10 411 298
11 66 537
12 203 227
13 17 320
14 457 241
15 326 389
16 343
26 2 20
1 498 936
2 160 521
3 202 614
4 238 813
5 194 884
6 423 391
7 490 511
8 457 746
9 252 500
10 54 213
11 436 957
12 477 103
13 387 347
14 474 899
15 133 647
16 352 240
17 225 617
18 406 783
19 305 98
20 79
27 96 11
1 271 840
2 384 916
3 90 903
4 123 858
5 399 637
6 140 928
7 38 887
8 157 921
9 262 553
10 373 450
11 410
28 58 26
1 21 119
2 429 739
3 51 809
4 442 226
5 65 175
6 476 736
7 240 612
8 386 179
9 454 887
10 396 558
11 166 446
12 241 993
13 241 469
14 334 115
15 429 963
16 432 807
17 341 163
18 212 856
19 353 771
20 268 757
21 343 236
22 101 185
23 434 429
24 55 963
25 370 53
26 492
29 89 14
1 133 137
2 36 544
3 441 547
4 272 424
5 432 981
6 462 839
7 15 147
8 481 365
9 228 982
10 184 919
11 244 613
12 248 306
13 307 181
14 267
30 2 11
1 344 434
2 66 156
3 37 425
4 255 886
5 123 380
6 490 579
7 441 126
8 326 440
9 412 314
10 328 552
11 429
31 64 4
1 106 783
2 478 439
3 170 622
4 476
32 20 10
1 448 978
2 175 485
3 21 926
4 119 834
5 231 175
6 269 367
7 304 568
8 472 491
9 289 383
10 428
33 37 36
1 321 97
2 79 757
3 437 157
4 140 795
5 132 562
6 246 382
7 151 110
8 118 882
9 314 189
10 15 394
11 307 974
12 231 279
13 480 401
14 439 721
15 367 193
16 245 426
17 164 234
18 256 207
19 471 916
20 251 336
21 268 55
22 222 342
23 167 626
24 89 176
25 127 374
26 314 207
27 290 387
28 81 700
29 41 871
30 354 882
31 398 458
32 155 714
33 219 142
34 279 583
35 405 491
36 338
34 97 29
1 158 932
2 294 924
3 197 579
4 379 266
5 256 592
6 418 929
7 487 466
8 269 416
9 154 739
10 79 705
11 432 218
12 95 816
13 125 338
14 441 586
15 89 737
16 405 394
17 79 349
18 44 369
19 243 402
20 392 316
21 104 145
22 299 775
23 225 86
24 147 818
25 166 929
26 301 52
27 74 852
28 215 217
29 410
35 42 37
1 344 917
2 360 195
3 153 713
4 258 749
5 251 565
6 301 848
7 332 183
8 406 289
9 215 243
10 36 821
11 400 694
12 397 40
13 98 96
14 459 61
15 406 289
16 320 867
17 151 190
18 72 131
19 132 81
20 287 441
21 437 933
22 131 842
23 34 874
24 122 544
25 80 581
26 214 740
27 478 298
28 168 262
29 319 707
30 100 234
31 56 325
32 452 300
33 141 228
34 15 91
35 71 927
36 283 737
37 89
36 20 31
1 467 725
2 287 437
3 470 673
4 420 752
5 201 60
6 247 300
7 91 748
8 281 494
9 442 624
10 269 687
11 147 693
12 84 554
13 11 443
14 367 490
15 206 713
16 494 309
17 22 735
18 126 297
19 399 759
20 275 677
21 8 350
22 178 702
23 12 897
24 146 707
25 274 139
26 419 540
27 161 696
28 128 421
29 264 236
30 98 234
31 430
37 34 18
1 277 737
2 190 455
3 340 272
4 253 194
5 21 868
6 463 305
7 315 61
8 120 617
9 457 555
10 463 311
11 303 976
12 314 644
13 294 518
14 364 271
15 95 768
16 140 840
17 470 863
18 39
38 49 27
1 249 556
2 6 874
3 456 860
4 368 717
5 146 811
6 55 450
7 424 189
8 389 751
9 298 108
10 141 89
11 469 393
12 90 553
13 491 888
14 483 80
15 98 999
16 417 104
17 143 703
18 340 651
19 468 216
20 195 664
21 488 43
22 291 399
23 134 361
24 331 618
25 89 473
26 85 238
27 182
39 11 31
1 218 794
2 338 568
3 230 66
4 410 414
5 168 418
6 183 549
7 156 830
8 476 789
9 402 334
10 23 782
11 418 44
12 232 872
13 141 128
14 21 117
15 166 313
16 317 596
17 242 566
18 235 185
19 139 181
20 254 382
21 411 321
22 199 468
23 103 548
24 66 691
25 425 913
26 233 830
27 451 379
28 389 768
29 305 483
30 22 875
31 398
40 41 28
1 378 104
2 24 738
3 26 668
4 262 321
5 416 425
6 300 861
7 333 593
8 462 639
9 148 638
10 162 784
11 337 318
12 170 461
13 250 868
14 304 554
15 421 421
16 359 374
17 330 863
18 223 914
19 362 354
20 410 473
21 208 851
22 13 39
23 246 244
24 345 584
25 476 172
26 90 950
27 85 986
28 223
41 79 38
1 203 174
2 19 874
3 491 241
4 282 289
5 474 439
6 195 240
7 401 765
8 66 135
9 67 983
10 139 967
11 8 655
12 215 50
13 40 704
14 133 114
15 171 969
16 240 391
17 287 305
18 464 296
19 9 240
20 211 561
21 95 786
22 333 600
23 37 97
24 286 90
25 310 903
26 275 805
27 438 910
28 143 931
29 150 460
30 268 752
31 488 786
32 252 232
33 243 131
34 485 137
35 425 641
36 76 558
37 71 78
38 65
42 4 1
1 492
43 8 7
1 262 715
2 266 365
3 364 423
4 234 917
5 207 122
6 188 825
7 175
44 31 17
1 105 858
2 498 425
3 254 990
4 41 387
5 102 358
6 159 85
7 325 86
8 51 114
9 77 435
10 235 648
11 468 861
12 221 159
13 136 299
14 464 658
15 240 486
16 270 924
17 340
45 73 23
1 448 241
2 287 911
3 469 747
4 54 610
5 240 424
6 60 394
7 255 177
8 322 635
9 401 83
10 279 701
11 46 184
12 156 757
13 135 100
14 469 267
15 63 468
16 130 545
17 378 454
18 239 423
19 228 175
20 361 158
21 118 331
22 258 181
23 53
46 100 6
1 27 407
2 96 241
3 425 618
4 311 76
5 493 242
6 365
47 8 8
1 393 696
2 52 488
3 34 663
4 238 82
5 191 192
6 254 724
7 253 95
8 245
48 7 15
1 88 392
2 191 429
3 82 253
4 59 889
5 249 185
6 397 589
7 82 291
8 170 832
9 487 281
10 384 510
11 296 938
12 274 654
13 336 207
14 389 824
15 25
49 49 6
1 258 877
2 110 533
3 272 157
4 238 314
5 371 298
6 158
50 67 27
1 444 814
2 42 139
3 193 837
4 140 531
5 472 198
6 468 173
7 66 673
8 408 208
9 25 128
10 192 893
11 67 844
12 203 416
13 297 977
14 132 809
15 473 924
16 419 632
17 376 668
18 6 473
19 92 384
20 369 282
21 410 814
22 211 178
23 411 190
24 395 563
25 213 149
26 299 294
27 487
